City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,punta arenas,-53.15,-70.9167,20.06,30,75,10.29,CL,1680546333
1,marsh harbour,26.5412,-77.0636,24.66,75,30,3.8,BS,1680546962
2,yellowknife,62.456,-114.3525,-10.71,62,40,2.06,CA,1680546784
3,anadyr,64.75,177.4833,-25.72,76,20,5.0,RU,1680546965
4,xapuri,-10.6517,-68.5044,29.31,68,72,1.97,BR,1680546966
5,esperance,-33.8667,121.9,18.63,85,99,2.66,AU,1680546969
6,kapaa,22.0752,-159.319,22.99,90,100,2.06,US,1680546970
7,bethel,41.3712,-73.414,14.47,41,0,5.14,US,1680546803
8,khatanga,71.9667,102.5,-22.97,98,100,3.12,RU,1680546972
9,kamuli,0.9472,33.1197,17.84,98,100,1.31,UG,1680546973
10,bredasdorp,-34.5322,20.0403,16.76,79,25,1.93,ZA,1680546974
11,mataura,-46.1927,168.8643,14.71,86,89,1.03,NZ,1680546976
12,cape canaveral,28.4058,-80.6048,30.6,79,40,6.69,US,1680546977
13,tuatapere,-46.1333,167.6833,9.72,91,60,1.86,NZ,1680546978
14,norman wells,65.282,-126.8329,-7.98,86,100,2.57,CA,1680546979
15,kavieng,-2.5744,150.7967,27.13,76,100,2.11,PG,1680546981
16,merauke,-8.4667,140.3333,24.24,90,99,2.23,ID,1680546982
17,bluff,-46.6,168.3333,14.89,76,90,6.32,NZ,1680546983
18,carnarvon,-24.8667,113.6333,24.2,75,7,6.22,AU,1680546985
19,chokurdakh,70.6333,147.9167,-14.5,95,98,4.29,RU,1680546986
20,hami,42.8,93.45,2.9,40,100,6.26,CN,1680546987
21,arlit,18.7369,7.3853,28.49,5,100,3.18,NE,1680546989
22,hirara,24.8,125.2833,20.15,68,75,3.09,JP,1680546990
23,sao filipe,14.8961,-24.4956,24.44,66,0,2.33,CV,1680546918
24,saldanha,-33.0117,17.9442,17.03,85,8,4.31,ZA,1680546992
25,billings,45.7833,-108.5007,5.72,50,40,4.02,US,1680546607
26,avarua,-21.2078,-159.775,26.03,65,75,2.57,CK,1680546995
27,leningradskiy,69.3833,178.4167,-32.45,96,9,2.41,RU,1680546996
28,hithadhoo,-0.6,73.0833,28.02,74,100,4.43,MV,1680546997
29,nikolskoye,59.7035,30.7861,-0.05,95,100,4.05,RU,1680546999
30,barrow,71.2906,-156.7887,-16.99,85,75,5.14,US,1680547000
31,te anau,-45.4167,167.7167,8.78,98,30,1.48,NZ,1680547001
32,kungurtug,50.5994,97.5228,-18.59,95,34,0.79,RU,1680547003
